name,generic_name,category,uses,side_effects,interactions,max_adult_dose,max_child_dose,contraindications
Paracetamol,Acetaminophen,Analgesic,"Fever, Pain relief","Nausea, Liver damage (overdose)","Alcohol, Warfarin",4000mg/day,15mg/kg/dose,"Liver disease, Alcohol dependence"
Amoxicillin,Amoxicillin,Antibiotic,"Bacterial infections, Pneumonia, UTI","Diarrhea, Rash, Nausea","Warfarin, Methotrexate",3000mg/day,25mg/kg/day,"Penicillin allergy"
Azithromycin,Azithromycin,Antibiotic,"Respiratory infections, STIs","Diarrhea, Nausea, Abdominal pain","Antacids, Warfarin",500mg/day,10mg/kg/day,"Liver disease, Cardiac arrhythmia"
Metformin,Metformin HCl,Antidiabetic,"Type 2 Diabetes","Nausea, Diarrhea, Lactic acidosis","Alcohol, Contrast dye",2000mg/day,N/A,"Kidney disease, Liver disease"
Cetirizine,Cetirizine HCl,Antihistamine,"Allergies, Urticaria, Rhinitis","Drowsiness, Dry mouth","Alcohol, Sedatives",10mg/day,5mg/day,"Kidney disease"
Metoprolol,Metoprolol Tartrate,Beta-blocker,"Hypertension, Angina, Heart failure","Fatigue, Bradycardia, Dizziness","Verapamil, Clonidine",200mg/day,N/A,"Asthma, Heart block"
Atorvastatin,Atorvastatin Calcium,Statin,"High cholesterol, Cardiovascular prevention","Muscle pain, Liver enzyme elevation","Fibrates, Niacin",80mg/day,N/A,"Liver disease, Pregnancy"
Omeprazole,Omeprazole,PPI,"GERD, Peptic ulcer, Acid reflux","Headache, Diarrhea, Nausea","Clopidogrel, Methotrexate",40mg/day,1mg/kg/day,"Osteoporosis risk (long-term)"
Ibuprofen,Ibuprofen,NSAID,"Pain, Fever, Inflammation","GI bleeding, Kidney issues, Hypertension","Aspirin, Blood thinners",3200mg/day,40mg/kg/day,"Kidney disease, GI ulcers, Pregnancy"
Amlodipine,Amlodipine Besylate,Calcium channel blocker,"Hypertension, Angina","Edema, Flushing, Dizziness","Simvastatin (high dose)","10mg/day",N/A,"Severe hypotension"
Lisinopril,Lisinopril,ACE Inhibitor,"Hypertension, Heart failure, Diabetic nephropathy","Cough, Hyperkalemia, Dizziness","Potassium supplements, NSAIDs",40mg/day,N/A,"Pregnancy, Angioedema history"
Doxycycline,Doxycycline Hyclate,Antibiotic,"Bacterial infections, Malaria prevention, Acne","Photosensitivity, Nausea, Esophagitis","Antacids, Iron supplements",200mg/day,N/A,"Children under 8, Pregnancy"
Pantoprazole,Pantoprazole Sodium,PPI,"GERD, Zollinger-Ellison syndrome","Headache, Diarrhea, Abdominal pain","Methotrexate, Atazanavir",40mg/day,N/A,"Hypomagnesemia risk"
Levothyroxine,Levothyroxine Sodium,Thyroid hormone,"Hypothyroidism, Goiter","Palpitations, Insomnia, Weight loss","Calcium, Iron, Antacids",Variable,Variable,"Untreated adrenal insufficiency"
Salbutamol,Albuterol,Bronchodilator,"Asthma, COPD, Bronchospasm","Tremors, Palpitations, Headache","MAOIs, Beta-blockers",N/A,N/A,"Severe cardiovascular disease"
Ciprofloxacin,Ciprofloxacin HCl,Antibiotic,"UTI, Respiratory infections, Anthrax","Tendinitis, Nausea, Diarrhea","Antacids, Warfarin, Theophylline",1500mg/day,20mg/kg/day,"Tendon disorders, Pregnancy"
Sertraline,Sertraline HCl,SSRI,"Depression, Anxiety, OCD, PTSD","Nausea, Insomnia, Sexual dysfunction","MAOIs, Tramadol, Linezolid",200mg/day,N/A,"MAOI use within 14 days"
Diclofenac,Diclofenac Sodium,NSAID,"Pain, Inflammation, Arthritis","GI bleeding, Kidney issues, Liver damage","Aspirin, Blood thinners, Lithium",150mg/day,N/A,"GI ulcers, Kidney disease, Pregnancy"
Gabapentin,Gabapentin,Anticonvulsant,"Epilepsy, Neuropathic pain, Restless legs","Drowsiness, Dizziness, Ataxia","Opioids, Antacids",3600mg/day,N/A,"Kidney disease (dose adjustment)"
Prednisolone,Prednisolone,Corticosteroid,"Inflammation, Autoimmune disorders, Asthma","Weight gain, Osteoporosis, Immunosuppression","NSAIDs, Vaccines",Variable,Variable,"Active infections, Diabetes (caution)"
Ranitidine,Ranitidine HCl,H2 Blocker,"GERD, Peptic ulcer, Heartburn","Headache, Dizziness, Constipation","Antacids, Warfarin",300mg/day,4mg/kg/day,"Kidney disease (dose adjustment)"
Tramadol,Tramadol HCl,Opioid analgesic,"Moderate to severe pain","Nausea, Dizziness, Constipation, Addiction","MAOIs, SSRIs, Alcohol",400mg/day,N/A,"Seizure disorder, Respiratory depression"
Montelukast,Montelukast Sodium,Leukotriene modifier,"Asthma, Allergic rhinitis","Headache, Neuropsychiatric events","Rifampicin",10mg/day,5mg/day,"Phenylketonuria (chewable tablets)"
Metronidazole,Metronidazole,Antibiotic/Antiprotozoal,"Bacterial vaginosis, Giardia, H. pylori","Metallic taste, Nausea, Peripheral neuropathy","Alcohol, Warfarin, Lithium",2000mg/day,N/A,"First trimester pregnancy, Alcohol use"
Insulin Glargine,Insulin Glargine,Insulin,"Type 1 & 2 Diabetes","Hypoglycemia, Weight gain, Injection site reactions","Alcohol, Beta-blockers",Variable,N/A,"Hypoglycemia"
Multivitamin,Multivitamin,Supplement,"Vitamin deficiency, Weakness","Mild stomach upset","None",N/A,N/A,"None"
Ondansetron,Ondansetron,Antiemetic,"Nausea, Vomiting","Headache, Constipation","Apomorphine",24mg/day,0.15mg/kg/dose,"Hypersensitivity"
Clarithromycin,Clarithromycin,Antibiotic,"Respiratory infections, Pneumonia","Nausea, Diarrhea","Warfarin, Statins",1000mg/day,15mg/kg/day,"Liver disease"
Progesterone,Progesterone,Hormone,"Hormonal imbalance, Pregnancy support","Dizziness, Fatigue","Anticonvulsants",400mg/day,N/A,"Liver disease"
